date,infection_speed,infection_speed_error,infection_peak_day,infection_peak_day_error,total_infected,total_infected_error,end_date
2020-03-09,4.092017775658769,0.21169005472382446,2020-03-15,2.9304033936863614,56478,30438,2020-05-01
2020-03-10,3.6854617762058965,0.20256008798520286,2020-03-11,1.0981307870032777,24254,4142,2020-04-18
2020-03-11,3.848813697166292,0.1803120556517672,2020-03-12,1.008195838876429,29660,4501,2020-04-23
2020-03-12,4.119627400323473,0.18645697887586785,2020-03-14,1.2451057184205891,42393,7889,2020-04-30
2020-03-13,4.208892801180274,0.1558369126141528,2020-03-15,1.001869094253093,48021,6949,2020-05-01
2020-03-14,4.406667267764584,0.15096019136998676,2020-03-17,1.080475039238184,63493,9804,2020-05-06
2020-03-15,4.507044292144587,0.13038777691761236,2020-03-18,0.9214759914463128,73520,9427,2020-05-09
2020-03-16,4.442936796492559,0.10679984868869126,2020-03-17,0.6079825205312869,67812,5409,2020-05-06
2020-03-17,4.3954410242755335,0.08876021790916727,2020-03-17,0.4222000428448484,64710,3394,2020-05-10
2020-03-18,4.446494211995874,0.07757301330152126,2020-03-17,0.33832164157686423,67488,2713,2020-05-18
2020-03-19,4.634966629489466,0.09804174568543016,2020-03-18,0.4366495243281468,77925,3910,2020-05-10
2020-03-20,4.881537610550319,0.1256841151122459,2020-03-20,0.5997848309234645,94246,6331,2020-06-01
2020-03-21,5.123736921452738,0.14231104075704626,2020-03-21,0.7313074481119987,114633,9193,2020-05-30
2020-03-22,5.198756323731706,0.1263852201305619,2020-03-22,0.614412089554537,121717,7919,2020-05-29
2020-03-23,5.1482786733270745,0.10900259622673247,2020-03-22,0.4584880180459184,117477,5453,2020-05-22
2020-03-24,5.110231385546358,0.09493117761438268,2020-03-21,0.351283639581451,114858,3915,2020-05-27
2020-03-25,5.093491982449485,0.08313191664422354,2020-03-21,0.2757911987794653,113885,2928,2020-05-20
2020-03-26,5.1473896033078805,0.07727509562277615,2020-03-21,0.2394245927209401,116673,2507,2020-06-09
2020-03-27,5.228091105508469,0.07688318606067747,2020-03-22,0.22581877808278625,120569,2354,2020-05-27
2020-03-28,5.325481709434799,0.08018606730581407,2020-03-22,0.22530307672771424,125043,2348,2020-05-24
2020-03-29,5.40403061440976,0.07978760831424249,2020-03-23,0.21308876815379246,128479,2202,2020-05-31
2020-03-30,5.437869902975329,0.07403529831670358,2020-03-23,0.18508088915258428,129862,1868,2020-05-30
2020-03-31,5.4607128543335985,0.06844349889961368,2020-03-23,0.16006421249614322,130722,1573,2020-05-28
2020-04-01,5.509770820791847,0.0667495515090459,2020-03-23,0.1478867383149076,132431,1425,2020-05-30
2020-04-02,5.5773100675756275,0.06897646003515234,2020-03-23,0.1460696728594506,134639,1385,2020-06-01
2020-04-03,5.659185116599248,0.07438209112664229,2020-03-23,0.15158996695703414,137178,1417,2020-06-13
2020-04-04,5.759803010053611,0.0837642082042177,2020-03-24,0.16551347644095013,140161,1530,2020-06-06
2020-04-05,5.759803010053611,0.0837642082042177,2020-03-24,0.16551347644095013,140161,1530,2020-06-06
2020-04-06,5.959197580492804,0.09840457602203978,2020-03-24,0.1836326502055354,145749,1656,2020-06-07
2020-04-07,6.038827989245718,0.10075470418098148,2020-03-24,0.18229001365377864,147850,1618,2020-06-09
2020-04-08,6.127349672895527,0.10509117112831264,2020-03-25,0.18507264180249272,150095,1619,2020-06-09
2020-04-10,6.344793724280812,0.1219156096572678,2020-03-25,0.20612173589531105,155331,1758,2020-06-14
2020-04-11,6.479260228506517,0.1353162284597403,2020-03-25,0.22567590087444975,158439,1907,2020-06-13
